Algorithm,Size,Type,Time(ms)
Insertion,20,ReverseFloat,0.026099849492311478
Selection,20,ReverseFloat,0.01619989052414894
Merge,20,ReverseFloat,0.02859998494386673
Quick,20,ReverseFloat,0.02050003968179226
Heap,20,ReverseFloat,0.02729985862970352
3-Way Merge,20,ReverseFloat,0.03590015694499016
Cycle,20,ReverseFloat,0.027999980375170708
Timsort,20,ReverseFloat,0.01840014010667801
Bubble,20,RandomString,0.03390014171600342
Insertion,20,RandomString,0.020999927073717117
Selection,20,RandomString,0.03429991193115711
Merge,20,RandomString,0.036400044336915016
Quick,20,RandomString,0.029999995604157448
Heap,20,RandomString,0.035899924114346504
3-Way Merge,20,RandomString,0.0575000885874033
Cycle,20,RandomString,0.04930002614855766
Timsort,20,RandomString,0.026999972760677338
Bubble,20,SortedString,0.029399991035461426
Insertion,20,SortedString,0.00609993003308773
Selection,20,SortedString,0.02659996971487999
Merge,20,SortedString,0.04349998198449612
Quick,20,SortedString,0.03709993325173855
Heap,20,SortedString,0.05419994704425335
3-Way Merge,20,SortedString,0.05260016769170761
Cycle,20,SortedString,0.02559996210038662
Timsort,20,SortedString,0.009299954399466515
Bubble,20,ReverseString,0.0467000063508749
Insertion,20,ReverseString,0.04000007174909115
Selection,20,ReverseString,0.031000003218650818
Merge,20,ReverseString,0.04779989831149578
Quick,20,ReverseString,0.0366999302059412
Heap,20,ReverseString,0.04679989069700241
3-Way Merge,20,ReverseString,0.04810001701116562
Cycle,20,ReverseString,0.04529999569058418
Timsort,20,ReverseString,0.01650000922381878
Bubble,50,Random,0.20919996313750744
Insertion,50,Random,0.10979990474879742
Selection,50,Random,0.08249981328845024
Merge,50,Random,0.0980000477284193
Quick,50,Random,0.07149996235966682
Heap,50,Random,0.10169995948672295
3-Way Merge,50,Random,0.11230004020035267
Cycle,50,Random,0.24729990400373936
Counting,50,Random,11.629600077867508
Radix,50,Random,0.1126001589000225
Timsort,50,Random,0.08319993503391743
Bubble,50,Sorted,0.17190002836287022
Insertion,50,Sorted,0.008899951353669167
Selection,50,Sorted,0.07389998063445091
Merge,50,Sorted,0.07739989086985588
Quick,50,Sorted,0.059300102293491364
Heap,50,Sorted,0.10649999603629112
3-Way Merge,50,Sorted,0.09310012683272362
Cycle,50,Sorted,0.06849993951618671
Timsort,50,Sorted,0.013899989426136017
Bubble,50,Reverse,0.18650013953447342
Insertion,50,Reverse,0.1604999415576458
Selection,50,Reverse,0.08459994569420815
Merge,50,Reverse,0.0825999304652214
Quick,50,Reverse,0.07220008410513401
Heap,50,Reverse,0.08759996853768826
3-Way Merge,50,Reverse,0.0996000599116087
Cycle,50,Reverse,0.14159991405904293
Timsort,50,Reverse,0.02359994687139988
Bubble,50,AlmostSorted,0.11899997480213642
Insertion,50,AlmostSorted,0.020900042727589607
Selection,50,AlmostSorted,0.07740012370049953
Merge,50,AlmostSorted,0.08720019832253456
Quick,50,AlmostSorted,0.061400001868605614
Heap,50,AlmostSorted,0.10689999908208847
3-Way Merge,50,AlmostSorted,0.10239984840154648
Cycle,50,AlmostSorted,0.07219985127449036
Timsort,50,AlmostSorted,0.0379001721739769
Bubble,50,FewUnique,0.1495999749749899
Insertion,50,FewUnique,0.07220008410513401
Selection,50,FewUnique,0.07990002632141113
Merge,50,FewUnique,0.11020014062523842
Quick,50,FewUnique,0.034899916499853134
Heap,50,FewUnique,0.09609991684556007
3-Way Merge,50,FewUnique,0.10850001126527786
Cycle,50,FewUnique,0.19420008175075054
Timsort,50,FewUnique,0.05710008554160595
Bubble,50,RandomFloat,0.1408001407980919
Insertion,50,RandomFloat,0.08099991828203201
Selection,50,RandomFloat,0.07820012979209423
Merge,50,RandomFloat,0.09560002945363522
Quick,50,RandomFloat,0.09540002793073654
Heap,50,RandomFloat,0.09709992446005344
3-Way Merge,50,RandomFloat,0.11160015128552914
Cycle,50,RandomFloat,0.2117999829351902
Timsort,50,RandomFloat,0.062000006437301636
Bubble,50,SortedFloat,0.08480018004775047
Insertion,50,SortedFloat,0.008299946784973145
Selection,50,SortedFloat,0.07279985584318638
Merge,50,SortedFloat,0.0741998665034771
Quick,50,SortedFloat,0.05470006726682186
Heap,50,SortedFloat,0.10469998233020306
3-Way Merge,50,SortedFloat,0.09360001422464848
Cycle,50,SortedFloat,0.06389990448951721
Timsort,50,SortedFloat,0.00909995287656784
Bubble,50,ReverseFloat,0.18159998580813408
